Date,Viajes por dia,Pasajeros por dia,Distancia(millas),Tarifario por dia($USD),travel_tday_bgh,borough,Total recaudado por dia($USD),Pago con tarjeta,Pago con efectivo,Tipo de taxi
2019-01-01,612,903.0,3715.41,12876.07,7 days 18:38:14,Bronx,14358.8,69671304,43204752,yellow
2019-01-01,4328,6965.0,20577.37,77198.05,62 days 08:46:43,Brooklyn,91457.79,492708176,305539488,yellow
2019-01-01,22,42.0,128.4,1543.0,1 days 23:13:13,EWR,1786.51,2504524,1553112,yellow
2019-01-01,164495,278552.0,449105.73,1884413.26,1910 days 17:40:53,Manhattan,2328161.62,18726439790,11612689020,yellow
2019-01-01,16657,27893.0,187486.37,564733.59,318 days 20:02:38,Queens,705048.18,1896266194,1175917572,yellow
2019-01-01,15,16.0,238.04,957.0600000000001,0 days 06:34:08,Staten Island,1057.64,1707630,1058940,yellow
2019-01-02,2539,3525.0,13179.81,50759.06,41 days 10:15:30,Brooklyn,57592.8,315686565,173850408,yellow
2019-01-02,26,38.0,66.73,1539.0,0 days 01:20:29,EWR,1754.6299999999999,3232710,1780272,yellow
2019-01-02,174097,278905.0,407392.0,1859557.45,1779 days 13:21:52,Manhattan,2338685.66,21646350495,11920769784,yellow
2019-01-02,533,574.0,3829.58,14457.68,8 days 00:33:16,Bronx,16127.5,66270555,36495576,yellow
2019-01-02,8,10.0,111.37,444.5,0 days 03:29:01,Staten Island,526.62,994680,547776,yellow
2019-01-02,17747,28982.0,209099.47,640169.83,414 days 18:11:55,Queens,809473.2,2206573245,1215172584,yellow
2019-01-03,659,740.0,4906.08,17381.62,10 days 16:54:08,Bronx,19380.21,95879887,47318177,yellow
2019-01-03,2926,3939.0,15685.66,59595.23,44 days 22:28:28,Brooklyn,68300.25,425712518,210095578,yellow
2019-01-03,11,18.0,1.37,756.0,0 days 00:06:48,EWR,891.97,1600423,789833,yellow
2019-01-03,199959,314420.0,453536.82,2128901.33,2168 days 19:00:44,Manhattan,2687313.36,29092634787,14357656077,yellow
2019-01-03,16182,26113.0,185856.45,575757.07,393 days 22:52:40,Queens,721880.66,2354367726,1161916146,yellow
2019-01-03,12,10.0,173.52,519.29,0 days 06:19:40,Staten Island,623.49,1745916,861636,yellow
2019-01-04,19,18.0,315.7,1023.86,0 days 12:43:03,Staten Island,1262.04,2957369,1394144,yellow
2019-01-04,14361,22886.0,160666.79,496471.47,321 days 12:28:18,Queens,619130.89,2235304011,1053752736,yellow
2019-01-04,2930,4024.0,14810.79,57030.340000000004,45 days 14:57:59,Brooklyn,65207.88,456057430,214991680,yellow
2019-01-04,17,32.0,0.17,1721.6,0 days 00:04:44,EWR,2015.56,2646067,1247392,yellow
2019-01-04,665,763.0,4900.01,17552.420000000002,10 days 16:07:06,Bronx,19580.420000000002,103507915,48795040,yellow
2019-01-04,213507,338755.0,479624.74,2254580.66,2263 days 00:09:28,Manhattan,2857180.2600000002,33232578057,15666289632,yellow
2019-01-05,7,10.0,84.84,248.0,0 days 03:19:25,Staten Island,285.48,1101135,514360,yellow
2019-01-05,12236,19784.0,137734.0,420815.69,266 days 13:07:50,Queens,520286.32,1924783980,899101280,yellow
2019-01-05,217358,359628.0,473641.95,2189340.73,2259 days 18:37:26,Manhattan,2733576.46,34191500190,15971465840,yellow
2019-01-05,2515,3739.0,9848.85,39102.78,31 days 15:25:29,Brooklyn,45950.81,395622075,184802200,yellow
2019-01-05,465,594.0,3048.98,11033.41,7 days 20:45:46,Bronx,12319.0,73146825,34168200,yellow
2019-01-05,22,41.0,96.49,1971.59,0 days 23:50:26,EWR,2311.91,3460710,1616560,yellow
2019-01-06,15674,24781.0,181761.57,554203.98,346 days 17:46:37,Queens,695219.57,2208921146,977853838,yellow
2019-01-06,7,7.0,89.67,491.21000000000004,0 days 03:44:21,Staten Island,520.84,986503,436709,yellow
2019-01-06,2869,4122.0,12919.82,49537.36,38 days 03:38:17,Brooklyn,56994.9,404325301,178988303,yellow
