Fecha,Pasajeros por dia,Viajes por dia,Tarifario por dia,Total recaudado por dia,Pago con tarjeta,Pago con efectivo,Tipo de Taxi
2019-01-01,20968,15433,232438.63,269440.34,7878,6990,green
2019-01-02,24508,19900,319723.73,364589.71,10966,7449,green
2019-01-03,26547,21931,351526.03,401273.7,12340,8053,green
2019-01-04,28391,23123,363460.16,416698.39,12866,8638,green
2019-01-05,26545,20810,291834.53,337079.39,11388,8428,green
2019-01-06,23823,18745,279215.77,319708.13,10446,7198,green
2019-01-07,26364,21365,341196.05,390214.68,12177,7659,green
2019-01-08,25508,21082,347760.8,396954.35,12625,6818,green
2019-01-09,27909,22977,376736.82,430729.67,13826,7346,green
2019-01-10,30371,24703,394249.9,453771.18,14763,8089,green
2019-01-11,31917,25666,396677.35,458387.58,14865,9100,green
2019-01-12,28291,21973,314954.31,363644.36,12071,8746,green
2019-01-13,23367,18507,275390.18,316179.39,10233,7111,green
2019-01-14,26252,21534,346355.28,396411.78,12534,7337,green
2019-01-15,26941,22453,376886.93,429841.52,13402,7081,green
2019-01-16,28356,23512,390499.79,446663.89,14165,7340,green
2019-01-17,30146,24640,400337.37,459406.4,14720,8028,green
2019-01-18,29464,23966,374583.52,433421.22000000003,13969,8361,green
2019-01-19,27060,21318,295067.96,340901.93,11333,8894,green
2019-01-20,20643,16122,211934.8,246940.08000000002,8713,6645,green
2019-01-21,17931,14340,199300.64,230719.2,8081,5444,green
2019-01-22,26168,21585,356744.23,408520.17,13069,6820,green
2019-01-23,27736,23063,380108.98,435102.41000000003,13809,7425,green
2019-01-24,28718,23776,387236.46,445612.21,14358,7543,green
2019-01-25,32085,26062,417665.31,480529.14,15172,9048,green
2019-01-26,29982,23570,351607.46,404367.91000000003,12707,9615,green
2019-01-27,24331,19355,296111.85,338866.55,10805,7278,green
2019-01-28,26546,21998,366483.51,418684.3,13064,7140,green
2019-01-29,28239,23165,377960.96,433358.05,14062,7266,green
2019-01-30,28211,22780,353012.77,407870.91000000003,13883,7393,green
2019-01-31,40,25,203.0,255.55,14,10,green
2019-01-31,27969,22538,345056.46,402145.93,13691,7402,green
2019-02-01,32835,26773,416928.65,481382.22000000003,15155,9731,green
2019-02-01,31,23,239.94,291.14,15,8,green
2019-02-02,30326,23800,342881.51,403455.3,12720,9833,green
2019-02-03,24733,19806,307588.55,360296.26,10994,7538,green
2019-02-04,26348,21861,372333.16,432353.55,12666,7372,green
2019-02-05,25545,21655,375029.44,435737.86,12760,6949,green
2019-02-06,29528,24371,405909.03,473464.74,14801,7552,green
2019-02-07,28432,23848,405555.99,472980.41000000003,14360,7474,green
2019-02-08,31549,26061,422572.64,495145.93,15176,8934,green
2019-02-09,30005,23917,350906.6,413085.47000000003,12999,9529,green
2019-02-10,23874,18997,291261.31,340904.42,10669,7063,green
2019-02-11,26237,22001,361868.42,422235.4,13087,7149,green
2019-02-12,22698,18380,283874.85,334200.0,11136,5940,green
2019-02-13,27685,22976,382538.67,446408.75,13787,7350,green
2019-02-14,5,5,18.5,33.0,0,5,green
2019-02-14,30011,24520,415514.76,482565.47000000003,14561,8041,green
2019-02-15,29618,24314,406011.16,473657.98,14038,8421,green
2019-02-15,4,4,42.0,51.699999999999996,0,4,green
2019-02-16,27175,21671,325890.76,382247.4,11392,9019,green
2019-02-17,23001,18461,287098.46,335134.92,10210,7049,green
2019-02-18,19432,15769,232938.39,274114.16000000003,9160,5682,green
2019-02-19,25732,21865,377988.1,438301.98,13139,6672,green
2019-02-20,24502,20438,323140.93,379067.95,12402,6507,green
2019-02-21,26379,21867,362449.67,423631.14,13123,7176,green
2019-02-22,28789,23820,387441.17,453824.93,13631,8431,green
2019-02-23,27899,22112,332385.32,391031.33,11964,8951,green
2019-02-24,21570,17302,267752.82,314225.3,9669,6588,green
2019-02-25,25,23,180.01,241.24,8,14,green
2019-02-25,26076,21597,358897.3,417002.79,12665,7143,green
2019-02-26,26862,22479,378465.9,439957.84,13321,7291,green
2019-02-27,27986,23011,376798.57,439525.97000000003,13730,7509,green
2019-02-28,26876,21840,344318.59,404768.45,12322,8230,green
2019-02-28,29,15,149.0,189.93,7,8,green
2019-03-01,29640,23879,374869.85,439331.12,13204,9180,green
2019-03-01,34,20,233.5,287.84000000000003,10,10,green
2019-03-02,24644,19410,275383.47,325081.85,10286,8273,green
2019-03-03,22595,17884,267226.64,312612.56,9979,6947,green
2019-03-04,20405,16597,237087.28,280446.99,9488,6094,green
2019-03-05,26171,21753,343201.98,397516.35,12430,7685,green
2019-03-06,27894,22745,346829.47,405371.39,13529,7765,green
2019-03-07,28188,23339,360580.35,420145.02,13617,8029,green
2019-03-08,28426,23422,357554.37,418369.48,13061,8847,green
2019-03-09,27530,21722,304551.9,359147.79,11384,9258,green
2019-03-10,20504,16516,230023.04,272085.42,9043,6555,green
2019-03-11,23738,20157,333713.65,389262.11,11375,7152,green
2019-03-12,25011,20841,343524.51,400718.3,11819,7284,green
2019-03-13,26061,22208,376721.76,438770.33,12982,7264,green
2019-03-14,26675,22848,399762.29,464418.06,13401,7334,green
2019-03-15,28188,23161,377790.24,442841.53,13135,8344,green
2019-03-16,27131,22059,340902.92,398967.96,11495,9200,green
2019-03-17,22221,18321,290124.52,337916.72000000003,9680,7300,green
2019-03-18,23153,19420,327155.42,378785.84,11107,6564,green
2019-03-19,3,3,28.0,38.77,2,1,green
2019-03-19,23820,20198,350974.08,406548.21,11719,6708,green
2019-03-20,25016,20855,353456.56,410560.18,12113,6939,green
2019-03-20,2,2,16.0,19.46,1,1,green
