Ticker,Date,Viajes_por_dia,Pasajeros_por_dia,Distancia_millas,borough,Tipo_de_taxi,Model,CO2_Emissions_lb_mill,FuelConsumption_City _L_mill,CO2_Trip_Lb,Fuel_Trip_Lt
AIMPEC,01/01/2022,93,97,272.33,Bronx,yellow,2021,1.05,8.99,285.946,2448.247
AIMPEC,01/01/2022,55593,84497,265662.88,Manhattan,yellow,2021,1.05,8.99,278946.024,2388309.291
AIMPEC,01/01/2022,43,88,15.04,EWR,yellow,2021,1.05,8.99,15.792,135.21
AIMPEC,02/01/2022,37,60,51.55,EWR,yellow,2021,1.05,8.99,54.128,463.434
AIMPEC,03/01/2022,7,5,103.92,Staten Island,yellow,2021,1.05,8.99,109.116,934.241
AIMPEC,03/01/2022,15,29,26.29,EWR,yellow,2021,1.05,8.99,27.604,236.347
AIMPEC,05/01/2022,327,370,1460.56,Brooklyn,yellow,2021,1.05,8.99,1533.588,13130.434
AIMPEC,06/01/2022,72592,97618,214861.78,Manhattan,yellow,2021,1.05,8.99,225604.869,1931607.402
AIMPEC,06/01/2022,139,142,108906.9,Bronx,yellow,2021,1.05,8.99,114352.245,979073.031
AIMPEC,08/01/2022,75744,109547,177263.6,Manhattan,yellow,2021,1.05,8.99,186126.78,1593599.764
AIMPEC,08/01/2022,377,397,1653.54,Brooklyn,yellow,2021,1.05,8.99,1736.217,14865.325
AIMPEC,09/01/2022,4,4,29.58,Staten Island,yellow,2021,1.05,8.99,31.059,265.924
AIMPEC,09/01/2022,7083,9982,89763.31,Queens,yellow,2021,1.05,8.99,94251.476,806972.157
AIMPEC,10/01/2022,6123,8418,73522.3,Queens,yellow,2021,1.05,8.99,77198.415,660965.477
AIMPEC,11/01/2022,364,369,105281.82,Brooklyn,yellow,2021,1.05,8.99,110545.911,946483.562
AIMPEC,11/01/2022,5087,7110,61570.16,Queens,yellow,2021,1.05,8.99,64648.668,553515.738
AIMPEC,13/01/2022,5205,7361,63767.9,Queens,yellow,2021,1.05,8.99,66956.295,573273.421
AIMPEC,14/01/2022,513,531,2201.61,Brooklyn,yellow,2021,1.05,8.99,2311.69,19792.474
AIMPEC,15/01/2022,425,451,1836.21,Brooklyn,yellow,2021,1.05,8.99,1928.02,16507.528
AIMPEC,17/01/2022,8099,11405,102013.66,Queens,yellow,2021,1.05,8.99,107114.343,917102.803
AIMPEC,19/01/2022,5,5,96,Staten Island,yellow,2021,1.05,8.99,100.8,863.04
AIMPEC,20/01/2022,156,139,768.59,Bronx,yellow,2021,1.05,8.99,807.02,6909.624
AIMPEC,20/01/2022,8,13,0.41,EWR,yellow,2021,1.05,8.99,0.431,3.686
AIMPEC,22/01/2022,111,101,577.55,Bronx,yellow,2021,1.05,8.99,606.428,5192.174
AIMPEC,23/01/2022,447,469,1886.28,Brooklyn,yellow,2021,1.05,8.99,1980.594,16957.657
AIMPEC,23/01/2022,68451,95500,168338.22,Manhattan,yellow,2021,1.05,8.99,176755.131,1513360.598
AIMPEC,24/01/2022,170,169,934.16,Bronx,yellow,2021,1.05,8.99,980.868,8398.098
AIMPEC,24/01/2022,6,6,112.5,Staten Island,yellow,2021,1.05,8.99,118.125,1011.375
AIMPEC,25/01/2022,176,176,961.28,Bronx,yellow,2021,1.05,8.99,1009.344,8641.907
AIMPEC,26/01/2022,7,22,0,EWR,yellow,2021,1.05,8.99,0,0
AIMPEC,26/01/2022,4847,6623,56374.15,Queens,yellow,2021,1.05,8.99,59192.858,506803.609
AIMPEC,27/01/2022,10,14,87.03,EWR,yellow,2021,1.05,8.99,91.381,782.4
AIMPEC,28/01/2022,10,9,115.3,Staten Island,yellow,2021,1.05,8.99,121.065,1036.547
AIMPEC,28/01/2022,11,14,45,EWR,yellow,2021,1.05,8.99,47.25,404.55
AIMPEC,28/01/2022,552,482,2556.07,Brooklyn,yellow,2021,1.05,8.99,2683.874,22979.069
AIMPEC,29/01/2022,1,2,0,EWR,yellow,2021,1.05,8.99,0,0
AIMPEC,29/01/2022,489,191,95915.27,Brooklyn,yellow,2021,1.05,8.99,100711.033,862278.277
AIMPEC,29/01/2022,32702,41452,590307.42,Manhattan,yellow,2021,1.05,8.99,619822.791,5306863.706
AIMPEC,30/01/2022,18,32,22.72,EWR,yellow,2021,1.05,8.99,23.856,204.253
AIMPEC,31/01/2022,184,170,883.95,Bronx,yellow,2021,1.05,8.99,928.148,7946.711
AIMPEC,01/02/2022,174,168,912.47,Bronx,yellow,2021,1.05,8.99,958.094,8203.105
AIMPEC,01/02/2022,489,488,81503.15,Brooklyn,yellow,2021,1.05,8.99,85578.308,732713.318
AIMPEC,01/02/2022,6,14,0.02,EWR,yellow,2021,1.05,8.99,0.021,0.18
AIMPEC,02/02/2022,5050,6861,60191.37,Queens,yellow,2021,1.05,8.99,63200.939,541120.416
AIMPEC,02/02/2022,85690,110617,790806.22,Manhattan,yellow,2021,1.05,8.99,830346.531,7109347.918
AIMPEC,03/02/2022,8,7,0.03,EWR,yellow,2021,1.05,8.99,0.032,0.27
AIMPEC,04/02/2022,155,149,855.56,Bronx,yellow,2021,1.05,8.99,898.338,7691.484
AIMPEC,04/02/2022,620,595,2601.19,Brooklyn,yellow,2021,1.05,8.99,2731.25,23384.698
AIMPEC,04/02/2022,5523,7814,96149.84,Queens,yellow,2021,1.05,8.99,100957.332,864387.062
AIMPEC,05/02/2022,934,802,4071.07,Brooklyn,yellow,2021,1.05,8.99,4274.624,36598.919
AIMPEC,05/02/2022,7,20,0.22,EWR,yellow,2021,1.05,8.99,0.231,1.978
AIMPEC,07/02/2022,79552,103277,176337.78,Manhattan,yellow,2021,1.05,8.99,185154.669,1585276.642
AIMPEC,08/02/2022,5946,8083,68873.39,Queens,yellow,2021,1.05,8.99,72317.06,619171.776
AIMPEC,09/02/2022,12,12,122.57,Staten Island,yellow,2021,1.05,8.99,128.698,1101.904
AIMPEC,11/02/2022,711,758,84190.51,Brooklyn,yellow,2021,1.05,8.99,88400.036,756872.685
AIMPEC,11/02/2022,7,7,70.8,Staten Island,yellow,2021,1.05,8.99,74.34,636.492
AIMPEC,13/02/2022,7478,10517,100121.24,Queens,yellow,2021,1.05,8.99,105127.302,900089.948
AIMPEC,13/02/2022,6,8,105.38,Staten Island,yellow,2021,1.05,8.99,110.649,947.366
AIMPEC,14/02/2022,762,727,69584.66,Brooklyn,yellow,2021,1.05,8.99,73063.893,625566.093
AIMPEC,15/02/2022,658,599,3036.45,Brooklyn,yellow,2021,1.05,8.99,3188.272,27297.686
AIMPEC,16/02/2022,101768,133437,533979.62,Manhattan,yellow,2021,1.05,8.99,560678.601,4800476.784
AIMPEC,16/02/2022,666,676,2907.66,Brooklyn,yellow,2021,1.05,8.99,3053.043,26139.863
AIMPEC,16/02/2022,9,11,0.56,EWR,yellow,2021,1.05,8.99,0.588,5.034
AIMPEC,17/02/2022,757,769,3461.76,Brooklyn,yellow,2021,1.05,8.99,3634.848,31121.222
AIMPEC,18/02/2022,105468,142038,427604.27,Manhattan,yellow,2021,1.05,8.99,448984.484,3844162.387
AIMPEC,19/02/2022,110,130,562.78,Bronx,yellow,2021,1.05,8.99,590.919,5059.392
AIMPEC,19/02/2022,696,699,3015.17,Brooklyn,yellow,2021,1.05,8.99,3165.928,27106.378
AIMPEC,20/02/2022,6,5,114.7,Staten Island,yellow,2021,1.05,8.99,120.435,1031.153
AIMPEC,21/02/2022,86,88,514.67,Bronx,yellow,2021,1.05,8.99,540.404,4626.883
AIMPEC,22/02/2022,5,5,96.1,Staten Island,yellow,2021,1.05,8.99,100.905,863.939
AIMPEC,24/02/2022,8312,12027,101391.47,Queens,yellow,2021,1.05,8.99,106461.044,911509.315
AIMPEC,24/02/2022,647,660,3002.95,Brooklyn,yellow,2021,1.05,8.99,3153.098,26996.52
AIMPEC,24/02/2022,18,29,19.03,EWR,yellow,2021,1.05,8.99,19.982,171.08
AIMPEC,25/02/2022,8647,12579,108636.9,Queens,yellow,2021,1.05,8.99,114068.745,976645.731
AIMPEC,25/02/2022,6,6,33.1,Staten Island,yellow,2021,1.05,8.99,34.755,297.569
AIMPEC,26/02/2022,7515,11520,95696.51,Queens,yellow,2021,1.05,8.99,100481.336,860311.625
AIMPEC,26/02/2022,1250,1242,5389.97,Brooklyn,yellow,2021,1.05,8.99,5659.469,48455.83
AIMPEC,27/02/2022,126,141,693.58,Bronx,yellow,2021,1.05,8.99,728.259,6235.284
AIMPEC,28/02/2022,34,69,98.69,Manhattan,yellow,2021,1.05,8.99,103.624,887.223
AIMPEC,28/02/2022,8,8,88.21,Staten Island,yellow,2021,1.05,8.99,92.62,793.008
AIMPEC,28/02/2022,10,15,0.06,EWR,yellow,2021,1.05,8.99,0.063,0.539
AIMPEC,01/03/2022,2,2,51.06,Queens,yellow,2021,1.05,8.99,53.613,459.029
AIMPEC,02/03/2022,159,159,34058.64,Bronx,yellow,2021,1.05,8.99,35761.572,306187.174
AIMPEC,03/03/2022,118057,154900,283818.17,Manhattan,yellow,2021,1.05,8.99,298009.078,2551525.348
AIMPEC,03/03/2022,868,893,210763.94,Brooklyn,yellow,2021,1.05,8.99,221302.137,1894767.821
AIMPEC,03/03/2022,20,25,11.39,EWR,yellow,2021,1.05,8.99,11.96,102.396
AIMPEC,04/03/2022,117273,156515,542882.66,Manhattan,yellow,2021,1.05,8.99,570026.793,4880515.113
AIMPEC,05/03/2022,111082,158033,273708.63,Manhattan,yellow,2021,1.05,8.99,287394.062,2460640.584
AIMPEC,07/03/2022,160,175,979.04,Bronx,yellow,2021,1.05,8.99,1027.992,8801.57
AIMPEC,07/03/2022,9685,13318,120536.43,Queens,yellow,2021,1.05,8.99,126563.252,1083622.506
AIMPEC,07/03/2022,3,3,65.4,Staten Island,yellow,2021,1.05,8.99,68.67,587.946
AIMPEC,08/03/2022,643,696,254753.69,Brooklyn,yellow,2021,1.05,8.99,267491.375,2290235.673
AIMPEC,08/03/2022,105827,138736,245611.88,Manhattan,yellow,2021,1.05,8.99,257892.474,2208050.801
AIMPEC,09/03/2022,684,607,3158.1,Brooklyn,yellow,2021,1.05,8.99,3316.005,28391.319
AIMPEC,10/03/2022,19,23,1.2,EWR,yellow,2021,1.05,8.99,1.26,10.788
AIMPEC,10/03/2022,120,130,570.76,Bronx,yellow,2021,1.05,8.99,599.298,5131.132
AIMPEC,10/03/2022,894,913,4433.23,Brooklyn,yellow,2021,1.05,8.99,4654.892,39854.738
AIMPEC,11/03/2022,919,949,4575.95,Brooklyn,yellow,2021,1.05,8.99,4804.748,41137.79
AIMPEC,12/03/2022,1,1,0.78,Manhattan,yellow,2021,1.05,8.99,0.819,7.012
AIMPEC,13/03/2022,9,8,141.82,Staten Island,yellow,2021,1.05,8.99,148.911,1274.962
AIMPEC,13/03/2022,105,108,467.31,Bronx,yellow,2021,1.05,8.99,490.676,4201.117
AIMPEC,15/03/2022,3,7,4.7,Manhattan,yellow,2021,1.05,8.99,4.935,42.253
AIMPEC,16/03/2022,9074,13090,112190.22,Queens,yellow,2021,1.05,8.99,117799.731,1008590.078
AIMPEC,17/03/2022,12,19,93.5,Staten Island,yellow,2021,1.05,8.99,98.175,840.565
AIMPEC,17/03/2022,133,148,698.51,Bronx,yellow,2021,1.05,8.99,733.436,6279.605
AIMPEC,19/03/2022,167,174,748.12,Bronx,yellow,2021,1.05,8.99,785.526,6725.599
AIMPEC,20/03/2022,33,60,32.47,EWR,yellow,2021,1.05,8.99,34.094,291.905
AIMPEC,20/03/2022,170,183,748.83,Bronx,yellow,2021,1.05,8.99,786.272,6731.982
AIMPEC,24/03/2022,164,159,931.73,Bronx,yellow,2021,1.05,8.99,978.316,8376.253
AIMPEC,25/03/2022,178,169,1023.64,Bronx,yellow,2021,1.05,8.99,1074.822,9202.524
AIMPEC,26/03/2022,116770,167438,683336.41,Manhattan,yellow,2021,1.05,8.99,717503.231,6143194.326
AIMPEC,26/03/2022,29,60,16.28,EWR,yellow,2021,1.05,8.99,17.094,146.357
AIMPEC,26/03/2022,7,7,32.7,Staten Island,yellow,2021,1.05,8.99,34.335,293.973
AIMPEC,28/03/2022,98624,128820,401650.57,Manhattan,yellow,2021,1.05,8.99,421733.098,3610838.624
AIMPEC,28/03/2022,11168,15544,140884.84,Queens,yellow,2021,1.05,8.99,147929.082,1266554.712
AIMPEC,30/03/2022,675,657,57221.78,Brooklyn,yellow,2021,1.05,8.99,60082.869,514423.802
AIMPEC,31/03/2022,749,727,82374.65,Brooklyn,yellow,2021,1.05,8.99,86493.382,740548.104
AIMPEC,31/03/2022,157,177,786.73,Bronx,yellow,2021,1.05,8.99,826.066,7072.703
AIMPEC,01/04/2022,12,26,33.13,Manhattan,yellow,2021,1.05,8.99,34.786,297.839
AIMPEC,03/04/2022,10,11,88.2,Staten Island,yellow,2021,1.05,8.99,92.61,792.918
AIMPEC,03/04/2022,150,162,604.99,Bronx,yellow,2021,1.05,8.99,635.24,5438.86
AIMPEC,03/04/2022,2,4,2.76,Manhattan,yellow,2021,1.05,8.99,2.898,24.812
AIMPEC,04/04/2022,10755,15166,135109.49,Queens,yellow,2021,1.05,8.99,141864.964,1214634.315
AIMPEC,05/04/2022,109412,143420,426922.33,Manhattan,yellow,2021,1.05,8.99,448268.446,3838031.747
AIMPEC,05/04/2022,7,7,99.7,Staten Island,yellow,2021,1.05,8.99,104.685,896.303
